Table: 

Location	xpos	ypos	Moria	Weathertop	Fangorn Forest	River Isen	Minas Tirith	Osgiliath	Minas Morgul	Erebor	Misty Mountains	Beorn's House	Mirkwood	Dale	Entwash River	Laketown	Bywater	Lothlorien	Gorgoroth	The Black Gate	Barad-Dur	The Grey Havens	Helm's Deep	Pelennor Fields	Cirith Ungol	Gladden Fields	Rivendell	
Moria	276.386	141.763	0	239.009	80.2688	152.679	139.483	268.692	132.891	150.769	177.981	336.773	436.665	282.558	329.88	308.915	90.2399	115.11	197.58	180.4	89.3656	266.436	133.509	92.8423	97.9536	28.7249	195.208	
Weathertop	153.18	346.569	239.009	0	188.676	268.596	104.912	229.824	320.519	236.849	330.662	239.25	201.034	82.4771	105.275	262.615	164.238	306.231	57.2363	249.726	262.563	273.555	143.386	170.301	306.136	251.519	128.499	
Fangorn Forest	293.31	220.227	80.2688	188.676	0	210.7	84.0891	190.238	133.528	197.487	155.453	256.573	389.605	250.42	265.556	231.132	98.876	192.02	137.155	116.176	74.7307	301.634	136.485	18.5762	117.697	75.2151	191.826	
River Isen	137.46	78.4339	152.679	268.596	210.7	0	213.695	394.249	281.433	33.6795	329.967	448.425	428.848	266.099	373.833	435.811	126.778	81.5693	257.789	325.249	242.028	130.436	126.486	212.277	243.197	180.438	154.607	
Minas Tirith	227.304	272.324	139.483	104.912	84.0891	213.695	0	191.952	217.096	189.042	232.805	236.143	305.945	168.517	190.404	232.49	87.8452	226.71	58.097	166.396	158.571	268.479	97.9239	66.0131	201.261	148.295	132.939	
Osgiliath	378.833	390.157	268.692	229.824	190.238	394.249	191.952	0	238.861	374.781	207.525	80.4636	381.292	312.174	224.692	41.5628	269.495	382.212	183.306	112.209	210.533	460.4	289.394	183.67	255.584	255.23	320.683	
Minas Morgul	408.785	153.182	132.891	320.519	133.528	281.433	217.096	238.861	0	283.155	55.586	318.887	520.468	383.861	386.685	269.728	212.332	223.721	266.242	126.656	58.8732	399.302	255.851	151.125	39.3595	104.228	316.291	
Erebor	128.793	110.979	150.769	236.849	197.487	33.6795	189.042	374.781	283.155	0	328.403	425.081	395.199	232.421	342.118	416.262	105.289	105.783	229.417	313.546	238.437	117.244	96.7578	196.302	246.422	179.449	120.943	
Misty Mountains	446.533	193.986	177.981	330.662	155.453	329.967	232.805	207.525	55.586	328.403	0	287.774	526.057	401.221	383.221	232.724	247.087	276.963	273.967	100.095	90.7157	442.535	288.798	170.037	93.6702	149.657	346.612	
Beorn's House	359.211	468.192	336.773	239.25	256.573	448.425	236.143	80.4636	318.887	425.081	287.774	0	349.465	316.675	197.272	64.0427	321.65	446.903	207.917	192.365	287.42	497.352	332.749	246.339	333.905	326.854	351.584	
